# timestamp is yyyymmddHHDD (year, month, day, hour, minute)
# precipitation is rainfall depth (mm) 
stn;time;rre150h0
AIG;2018072222;0.0
AIG;2018072223;0.0
AIG;2018072300;0.0
AIG;2018072301;0.0
AIG;2018072302;0.0
AIG;2018072303;0.0
AIG;2018072304;0.0
AIG;2018072305;0.0
AIG;2018072306;0.0
AIG;2018072307;0.0
AIG;2018072308;0.0
AIG;2018072309;0.0
AIG;2018072310;0.0
AIG;2018072311;0.0
AIG;2018072312;0.0
AIG;2018072313;0.0
AIG;2018072314;0.0
AIG;2018072315;0.0
AIG;2018072316;0.0
AIG;2018072317;0.0
AIG;2018072318;0.0
AIG;2018072319;0.0
AIG;2018072320;0.0
AIG;2018072321;0.0
AIG;2018072322;0.0
AIG;2018072323;0.0
AIG;2018072400;0.0
AIG;2018072401;0.0
AIG;2018072402;0.0
AIG;2018072403;0.0
AIG;2018072404;0.0
AIG;2018072405;0.0
AIG;2018072406;0.0
AIG;2018072407;0.0
AIG;2018072408;0.0
AIG;2018072409;0.0
AIG;2018072410;0.0
AIG;2018072411;0.0
AIG;2018072412;0.0
AIG;2018072413;0.0
AIG;2018072414;0.0
AIG;2018072415;0.0
AIG;2018072416;0.0
AIG;2018072417;0.0
AIG;2018072418;0.0
AIG;2018072419;0.0
AIG;2018072420;0.0
AIG;2018072421;0.0
AIG;2018072422;0.0
AIG;2018072423;0.0
AIG;2018072500;0.0
AIG;2018072501;0.0
AIG;2018072502;0.0
AIG;2018072503;0.0
AIG;2018072504;0.0
AIG;2018072505;0.0
AIG;2018072506;0.0
AIG;2018072507;0.0
AIG;2018072508;0.0
AIG;2018072509;0.0
AIG;2018072510;0.0
AIG;2018072511;0.0
AIG;2018072512;0.0
AIG;2018072513;0.0
AIG;2018072514;0.0
AIG;2018072515;0.0
AIG;2018072516;0.4
AIG;2018072517;0.0
AIG;2018072518;0.0
AIG;2018072519;0.0
AIG;2018072520;0.0
AIG;2018072521;0.0
AIG;2018072522;0.0
AIG;2018072523;0.0
AIG;2018072600;0.0
AIG;2018072601;0.0
AIG;2018072602;0.0
AIG;2018072603;0.0
AIG;2018072604;0.0
AIG;2018072605;0.0
AIG;2018072606;0.0
AIG;2018072607;0.0
AIG;2018072608;0.0
AIG;2018072609;0.0
AIG;2018072610;0.0
AIG;2018072611;0.0
AIG;2018072612;0.0
AIG;2018072613;0.0
AIG;2018072614;0.0
AIG;2018072615;0.0
AIG;2018072616;0.0
AIG;2018072617;0.0
AIG;2018072618;0.0
AIG;2018072619;0.0
